second,Ampere
-370.00E-06,-143.35938E-03
-360.00E-06,-141.21094E-03
-350.00E-06,-137.50000E-03
-340.00E-06,-134.57031E-03
-330.00E-06,-131.64063E-03
-320.00E-06,-127.53906E-03
-310.00E-06,-125.39063E-03
-300.00E-06,-121.48438E-03
-290.00E-06,-118.55469E-03
-280.00E-06,-116.01563E-03
-270.00E-06,-112.10938E-03
-260.00E-06,-109.76563E-03
-250.00E-06,-105.66406E-03
-240.00E-06,-102.53906E-03
-230.00E-06,-100.00000E-03
-220.00E-06,-95.31250E-03
-210.00E-06,-92.96875E-03
-200.00E-06,-89.06250E-03
-190.00E-06,-85.74219E-03
-180.00E-06,-83.39844E-03
-170.00E-06,-78.90625E-03
-160.00E-06,-76.56250E-03
-150.00E-06,-72.65625E-03
-140.00E-06,-69.33594E-03
-130.00E-06,-66.79688E-03
-120.00E-06,-62.89063E-03
-110.00E-06,-60.35156E-03
-100.00E-06,-56.64063E-03
-90.00E-06,-52.92969E-03
-80.00E-06,-50.19531E-03
-70.00E-06,-45.89844E-03
-60.00E-06,-43.75000E-03
-50.00E-06,-39.84375E-03
-40.00E-06,-36.32813E-03
-30.00E-06,-33.59375E-03
-20.00E-06,-29.29688E-03
-10.00E-06,-26.56250E-03
-0.0E+00,-23.04688E-03
+10.00E-06,-19.72656E-03
+20.00E-06,-17.18750E-03
+30.00E-06,-12.89063E-03
+40.00E-06,-10.54688E-03
+50.00E-06,-7.22656E-03
+60.00E-06,-3.90625E-03
+70.00E-06,-1.56250E-03
+80.00E-06,+2.53906E-03
+90.00E-06,+4.88281E-03
+100.00E-06,+8.20313E-03
+110.00E-06,+11.52344E-03
+120.00E-06,+14.06250E-03
+130.00E-06,+18.35938E-03
+140.00E-06,+21.09375E-03
+150.00E-06,+24.41406E-03
+160.00E-06,+27.73438E-03
+170.00E-06,+30.07813E-03
+180.00E-06,+33.98438E-03
+190.00E-06,+36.32813E-03
+200.00E-06,+39.64844E-03
+210.00E-06,+43.16406E-03
+220.00E-06,+45.70313E-03
+230.00E-06,+49.60938E-03
+240.00E-06,+51.95313E-03
+250.00E-06,+54.88281E-03
+260.00E-06,+58.20313E-03
+270.00E-06,+60.35156E-03
+280.00E-06,+64.64844E-03
+290.00E-06,+66.79688E-03
+300.00E-06,+69.92188E-03
+310.00E-06,+73.24219E-03
+320.00E-06,+75.19531E-03
+330.00E-06,+79.10156E-03
+340.00E-06,+81.44531E-03
+350.00E-06,+84.57031E-03
+360.00E-06,+88.28125E-03
+370.00E-06,+90.23438E-03
+380.00E-06,+94.33594E-03
+390.00E-06,+96.67969E-03
+400.00E-06,+99.21875E-03
+410.00E-06,+102.73438E-03
+420.00E-06,+104.49219E-03
+430.00E-06,+108.20313E-03
+440.00E-06,+110.74219E-03
+450.00E-06,+113.08594E-03
+460.00E-06,+116.60156E-03
+470.00E-06,+118.35938E-03
+480.00E-06,+121.87500E-03
+490.00E-06,+124.02344E-03
+500.00E-06,+126.36719E-03
+510.00E-06,+130.07813E-03
+520.00E-06,+131.64063E-03
+530.00E-06,+135.35156E-03
+540.00E-06,+137.50000E-03
+550.00E-06,+140.03906E-03
+560.00E-06,+143.35938E-03
+570.00E-06,+144.92188E-03
+580.00E-06,+148.24219E-03
+590.00E-06,+150.39063E-03
+600.00E-06,+152.53906E-03
+610.00E-06,+155.66406E-03
+620.00E-06,+157.61719E-03
+630.00E-06,+160.93750E-03
+640.00E-06,+163.47656E-03
+650.00E-06,+165.42969E-03
+660.00E-06,+168.75000E-03
+670.00E-06,+170.31250E-03
+680.00E-06,+173.63282E-03
+690.00E-06,+175.97657E-03
+700.00E-06,+177.92969E-03
+710.00E-06,+181.25000E-03
+720.00E-06,+182.81250E-03
+730.00E-06,+185.93750E-03
+740.00E-06,+188.28125E-03
+750.00E-06,+190.23438E-03
+760.00E-06,+193.35938E-03
+770.00E-06,+194.92188E-03
+780.00E-06,+197.85157E-03
+790.00E-06,+200.39063E-03
+800.00E-06,+202.14844E-03
+810.00E-06,+205.66407E-03
+820.00E-06,+207.03125E-03
+830.00E-06,+210.35157E-03
+840.00E-06,+212.69532E-03
+850.00E-06,+214.64844E-03
+860.00E-06,+217.96875E-03
+870.00E-06,+219.33594E-03
+880.00E-06,+222.07032E-03
+890.00E-06,+224.60938E-03
+900.00E-06,+226.36719E-03
+910.00E-06,+229.49219E-03
+920.00E-06,+231.25000E-03
+930.00E-06,+233.78907E-03
+940.00E-06,+236.32813E-03
+950.00E-06,+237.69532E-03
+960.00E-06,+241.01563E-03
+970.00E-06,+242.38282E-03
+980.00E-06,+245.11719E-03
+990.00E-06,+247.26563E-03
+1.00000E-03,+248.82813E-03
+1.01000E-03,+251.95313E-03
+1.02000E-03,+253.32032E-03
+1.03000E-03,+255.85938E-03
+1.04000E-03,+258.59375E-03
+1.05000E-03,+259.96094E-03
+1.06000E-03,+263.28125E-03
+1.07000E-03,+264.64844E-03
+1.08000E-03,+266.99219E-03
+1.09000E-03,+269.14063E-03
+1.10000E-03,+270.50782E-03
+1.11000E-03,+273.82813E-03
+1.12000E-03,+275.19532E-03
+1.13000E-03,+277.34375E-03
+1.14000E-03,+280.27344E-03
+1.15000E-03,+281.64063E-03
+1.16000E-03,+284.76563E-03
+1.17000E-03,+285.93750E-03
+1.18000E-03,+287.89063E-03
+1.19000E-03,+290.42969E-03
+1.20000E-03,+291.40625E-03
+1.21000E-03,+294.53125E-03
+1.22000E-03,+295.70313E-03
+1.23000E-03,+297.65625E-03
+1.24000E-03,+300.19532E-03
+1.25000E-03,+301.17188E-03
+1.26000E-03,+304.10157E-03
+1.27000E-03,+305.27344E-03
+1.28000E-03,+307.03125E-03
+1.29000E-03,+309.37500E-03
